Peterborough CBC 2014/5,,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Total,,,,,,
 ,Record,1,2,3,4,5,6,7,8,9,10,,,,,,,
,,,,,,,,,,,,,,,,,,
Pied-billed Grebe,4,,,1,,,,,,,,1,,,,,,
Great Blue Heron,4,,1,,1,,,,,,,2,,,,,,
Ross's Goose,CP,,,CP,,,,,,,,,New CP,,,,,
Canada Goose,2244,1,,4,10,357,124,,,2,42,540,,,,,,
American Black Duck,30,,,,1,,2,,,,1,4,,,,,,
Mallard,1264,,,134,45,70,263,67,,1,323,903,,,,,,
Common Goldeneye,292,,,1,,8,7,,,,2,18,,,,,,
Bufflehead,5,,,1,,,,,,,,1,,,,,,
Hooded Merganser,9,,,3,,2,1,,,,,6,,,,,,
Common Merganser,255,,,4,5,2,4,,,,9,24,,,,,,
Bald Eagle,4,,1,,,,1,,,,,2,,,,,,
Sharp-shinned Hawk,5,2,,,,,1,1,,,1,5,Equals record,,,,,
Cooper's Hawk,10,,1,,2,,1,1,,1,,6,,,,,,
Red-tailed Hawk,62,3,11,8,4,9,11,8,2,8,,64,New record high,,,,,
Rough-legged Hawk,5,,1,,,,,,,,,1,,,,,,
American Kestrel,14,,,,,2,,2,,2,,6,,,,,,
Ruffed Grouse,82,2,,,4,,3,,,3,,12,,,,,,
Wild Turkey,287,,80,14,15,6,,,60,131,,306,New record high,,,,,
Americam Coot,2,,,,,,,1,,,,1,,,,,,
Ring-billed Gull,306,44,,7,1,2,1,21,,9,8,93,,,,,,
Herring Gull,1302,11,34,95,25,65,113,,6,43,21,413,,,,,,
Glaucous Gull,5,,1,,,,1,,,,,2,,,,,,
Great Black-backed Gull,32,,,1,,2,,,,,,3,,,,,,
Rock Pigeon,1538,203,72,103,99,88,476,117,130,242,175,1705,New record high,,,,,
Mourning Dove,1329,186,106,60,33,136,173,87,47,138,7,973,,,,,,
Eastern Screech Owl,3,,,,,,,,,1,,1,,,,,,
Great Horned Owl,40,,5,,1,,,,,,,6,,,,,,
