name,type,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
Pied-billed Grebe,species,1,,,,4,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,
Red-necked Grebe,species,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Loon,species,,,,,,,,,1,,,,,2,,,,,1,,,,,,,CP,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Blue Heron,species,2,,1,1,,,,,2,CP,2,,1,1,,1,1,1,1,,,1,,,,,,CP,CP,,,CP,CP,1,,,,,2,,,4,,,,,,,,,,,,,,,,,1,,,,1
Snow Goose,species,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Goose,species,540,314,1166,1935,11,108,39,,1277,147,51,1439,788,1309,21,2244,648,466,269,2,49,41,3,3,315,,6,1,CP,0,16,1,3,,,3,,,,,,,,13,,2,,,,,,,,,,,,,,,,,
Mute Swan,species,,,,,,,,,,,,CP,,,,,,1,,,3,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Duck,species,,,,,,,,,,,,,,,,,,,CP,1,,,,,,,,,CP,2,1,,,4,1,CP,5,,CP,1,1,,,,,,,,,,,,,,,1,,,,,,,
Green-winged Teal,species,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wigeon,species,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Black Duck,species,4,,3,,6,8,7,1,,1,3,6,11,16,3,3,5,14,8,25,13,5,3,5,4,8,11,4,7,1,0,2,1,4,18,27,0,8,7,22,30,12,,,,6,6,11,1,,,,2,6,1,1,,,,,,,
Mallard,species,903,826,1264,806,1087,920,814,332,668,1124,471,518,539,433,362,517,518,510,734,885,709,466,418,731,654,563,823,717,333,389,329,240,432,296,461,263,585,184,195,250,83,35,5,,,16,1,2,,,,,,2,,1,,2,,,,,
Northern Pintail,species,,,,,,,,,CP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Northern Shoveler,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Redhead,species,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring-necked Duck,species,,,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Scaup,species,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Lesser Scaup,species,,CP,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,
Common Goldeneye,species,18,211,104,42,36,37,17,33,64,28,34,42,9,292,,79,20,35,32,13,35,62,98,45,58,51,75,8,67,65,32,33,3,46,26,1,16,10,5,12,1,2,19,14,6,6,4,1,7,,,,2,13,42,9,,1,,3,,,
Barrow's Goldeneye,species,,,,,,,,,,,,1,,,,,,,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufflehead,species,1,1,CP,,,CP,,,,,4,2,,CP,,5,2,1,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Hooded Merganser,species,6,3,4,3,1,,,1,4,3,5,6,4,2,,1,1,,,1,,CP,,,,CP,1,2,8,3,2,1,,2,,,,,,,,1,,,,,,,,,,1,9,4,4,,,,,,,,
Common Merganser,species,24,7,255,6,1,13,,7,57,3,2,71,5,24,2,28,53,26,9,11,3,4,13,1,24,15,4,2,5,8,1,1,CP,1,7,2,,,,,CP,,,,,5,,,,,,1,4,7,20,5,16,6,8,9,14,,
Red-breasted Merganser,species,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,CP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Long-tailed Duck,species,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle,species,2,4,,,,1,2,CP,,CP,2,CP,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,species,,,1,1,,1,,,6,,,,2,2,,,1,,,,,3,,,,CP,,,,,,,,,,,,,,,1,,,,,,,2,1,,2,,,,,,,,,,,,
Sharp-shinned Hawk,species,5,CP,1,2,5,3,4,CP,3,3,2,3,4,1,5,,4,1,5,3,,4,1,2,4,1,3,3,3,1,3,1,1,,1,1,,1,2,CP,,1,,,2,,,,,,,,,,,,,,,,,,
Cooper's Hawk,species,6,10,5,6,5,5,5,2,4,4,1,,1,4,3,,2,1,,3,3,CP,1,4,CP,4,2,1,1,1,1,,1,1,,1,,,,2,,1,,,1,,,,,1,,,1,,,,,,,,,,
Goshawk,species,,,,1,,,,,1,1,,2,,1,2,2,,1,,,,,1,2,1,,,,,1,,4,2,1,1,2,,1,1,2,,1,,,3,2,,,,,,3,2,1,,,,1,1,,1,,
Red-shouldered Hawk,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Red-tailed Hawk,species,64,32,19,47,44,39,43,1,46,33,18,13,56,50,23,38,20,15,16,22,21,62,24,31,29,40,14,36,41,12,28,18,33,30,37,48,13,15,14,34,8,13,7,1,9,3,,9,6,2,1,7,2,3,1,,1,,,,,,
Rough-legged Hawk,species,1,,CP,,,,,,1,CP,3,,CP,,1,,,1,,,,,,,1,1,,1,1,,,CP,1,,1,,,,,1,,,,,,,,2,,4,2,5,,1,1,,,,,1,,,1
Golden Eagle,species,,,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,species,6,1,1,3,4,2,1,CP,3,2,,2,8,5,1,8,2,1,CP,2,1,2,3,9,2,1,6,12,7,2,1,CP,9,10,5,14,8,6,2,9,7,4,1,2,5,2,,11,,4,2,5,2,3,5,1,2,2,1,2,2,,1
Merlin,species,,2,2,1,3,2,2,,2,,,2,,,,,1,,1,,,,,,,,,1,CP,CP,,,,1,,,,,1,1,CP,,,,,,,,,,,,,,,,,,,,2,,
Peregrine,species,,,CP,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,CP,1,,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant,species,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,,1,,,,1,,1,,3,,,,,
Ruffed Grouse,species,12,3,2,6,2,5,3,,13,14,8,13,9,9,8,15,12,4,10,19,15,13,15,21,13,45,13,38,28,38,16,31,19,30,28,82,28,35,35,28,61,34,34,22,10,7,2,9,10,14,7,9,10,13,13,14,10,8,4,6,3,1,8
Wild Turkey,species,306,147,287,169,225,87,50,,67,58,40,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Coot,species,1,,,,,,,,,,,2,,,,,,,CP,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Killdeer,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Wilson's Snipe,species,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Ring-billed Gull,species,93,13,237,306,8,40,77,2,284,34,98,43,231,192,221,166,191,60,8,,13,1,37,10,CP,5,,23,1,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herring Gull,species,413,9,312,221,22,194,438,CP,493,316,32,413,592,528,768,369,1302,489,252,143,1231,151,14,509,3,60,,745,186,,2,,267,15,,,,,,,,,,,,,,,1,,,,1,,,,,15,28,,1,,4
Iceland Gull,species,,,1,,,,,,,,2,1,,,2,,1,CP,CP,1,1,,,,,1,,1,1,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaucous Gull,species,2,,1,1,,,1,,3,,5,2,2,1,3,3,,3,1,4,5,,CP,,,1,,1,CP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Black-backed Gull,species,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Black-backed Gull,species,3,,3,2,,3,8,1,6,5,5,8,15,30,7,1,22,20,5,5,32,,,3,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
